mean_energy	error	        alpha	         beta	         gamma	        acceptance	stepsize
48.615470,	1.959110,	-1.719100,	-2.487960,	-0.097970,	56.452083,	2.000000
34.787569,	1.744551,	-1.719100,	-2.487960,	-0.085970,	59.006250,	2.000000
23.257033,	1.551544,	-1.719100,	-2.487960,	-0.073970,	61.710417,	2.000000
17.142562,	1.331464,	-1.719100,	-2.487960,	-0.061970,	64.347917,	2.000000
10.963110,	1.195315,	-1.719100,	-2.487960,	-0.049970,	68.127083,	2.000000
6.580680,	0.975326,	-1.719100,	-2.487960,	-0.037970,	72.470833,	2.000000
5.231778,	0.877807,	-1.719100,	-2.487960,	-0.025970,	77.543750,	2.000000
3.393765,	0.517818,	-1.719100,	-2.487960,	-0.013970,	75.908333,	3.000000
104.416545,	2.440386,	-1.719100,	-2.137960,	-0.133970,	50.735417,	2.000000
86.566302,	2.255445,	-1.719100,	-2.137960,	-0.121970,	52.277083,	2.000000
73.183182,	2.150497,	-1.719100,	-2.137960,	-0.109970,	54.075000,	2.000000
59.364472,	1.946706,	-1.719100,	-2.137960,	-0.097970,	56.404167,	2.000000
42.326388,	1.657995,	-1.719100,	-2.137960,	-0.085970,	58.689583,	2.000000
30.307422,	1.491590,	-1.719100,	-2.137960,	-0.073970,	61.333333,	2.000000
21.310794,	1.349190,	-1.719100,	-2.137960,	-0.061970,	64.395833,	2.000000
15.575590,	1.189414,	-1.719100,	-2.137960,	-0.049970,	68.264583,	2.000000
8.723712,	0.903737,	-1.719100,	-2.137960,	-0.037970,	72.020833,	2.000000
6.725765,	0.843360,	-1.719100,	-2.137960,	-0.025970,	76.885417,	2.000000
3.053264,	0.352168,	-1.719100,	-2.137960,	-0.013970,	79.402083,	2.500000
122.722464,	2.546489,	-1.719100,	-1.787960,	-0.133970,	50.577083,	2.000000
108.467600,	2.314878,	-1.719100,	-1.787960,	-0.121970,	52.091667,	2.000000
86.819405,	2.093307,	-1.719100,	-1.787960,	-0.109970,	54.179167,	2.000000
70.457932,	1.853043,	-1.719100,	-1.787960,	-0.097970,	55.939583,	2.000000
56.333336,	1.681382,	-1.719100,	-1.787960,	-0.085970,	58.268750,	2.000000
41.755940,	1.549051,	-1.719100,	-1.787960,	-0.073970,	61.179167,	2.000000
31.966773,	1.382151,	-1.719100,	-1.787960,	-0.061970,	64.202083,	2.000000
23.048727,	1.103256,	-1.719100,	-1.787960,	-0.049970,	67.839583,	2.000000
14.829585,	0.913121,	-1.719100,	-1.787960,	-0.037970,	71.683333,	2.000000
7.253727,	0.966507,	-1.719100,	-1.787960,	-0.025970,	76.556250,	2.000000
5.012626,	0.408176,	-1.719100,	-1.787960,	-0.013970,	78.847917,	2.500000
153.507708,	2.407674,	-1.719100,	-1.437960,	-0.133970,	49.647917,	2.000000
139.927830,	2.332130,	-1.719100,	-1.437960,	-0.121970,	52.379167,	2.000000
115.203479,	2.056081,	-1.719100,	-1.437960,	-0.109970,	53.625000,	2.000000
92.263065,	1.832977,	-1.719100,	-1.437960,	-0.097970,	55.825000,	2.000000
